id,author,page,text,rate,reply_to,created_at,updated_at,user_id,category,published
1,آرش,zagros,ایرلاین خوبیه. برخورد مهمانداران هم خوب بود. غذاشون ولی خیلی کمه.,3,,2017-10-12 09:15:31.245207,2017-10-12 09:15:31.245207,,0,t
2,"",kish-air,"",3,,2017-10-12 09:15:57.946187,2017-10-12 09:15:57.946187,,0,t
3,Ali,kish-air,هواپیماهای خوبی داره. با اینکه بویینگ ام دی هستن ولی آدم احساس امنیت میکنه. مهماندارها خیلی خوش برخورد هستن.,5,,2017-10-12 09:16:55.483275,2017-10-12 09:16:55.483275,,0,t
4,"",taban,"",3,,2017-10-12 10:27:00.683174,2017-10-12 10:27:00.683174,,0,t
5,علی اخوان,sepehran,یک سفر تهران به مشهد رفتم و خوب بود. هواپیمای تمیزی دارن و سر وقت پرواز کردن. من راضی بودم. ,4,,2017-10-12 19:18:33.353009,2017-10-12 19:18:33.353009,,0,t
6,جواد,iran-air,من 5 بار با ایران ایر مسافرت کردم. تاخیر های طولانی داره ولی خیالتون بابت امنیت و برخورد مهماندار و پذایرایی و هواپیما و خلاصه همه چیزشون راحت باشه...,5,,2017-10-13 20:28:05.15085,2017-10-13 20:28:05.15085,,0,t
7,lotfalian,taban,من 3بار با تابان مسافرت داشتم وهرسه مورد هم بسيار ناراضي بودم دوبار باتاخير٣ساعته و٦ساعته مواجه شدم وبار اخر هم كه يكربع به پرواز رسيدم وبااينكه پرواز با ٤٠دقيقه تاخير پرواز كرد و ازداخل فرودگاه به انها اطلاع دادند كه مرا بفرستند چون بليط مرا پاي پرواز به كس ديگري فروخته بودند گفتند كه تمام صندلي ها پر است وبه من اجازه پرواز ندادند ومن انشب ٩٠٠٠٠٠ هزارتومان دادم وباپرواز اسمان رفتم خدا از صاحبان اين شركت نگذرد كه اين هزينه را به من تحميل كردند درصورتيكه وقتي تاخير داشتند هيچ خسارتي را به مسافرانشان نميدهند من كه حلال نميكنم,1,,2017-10-13 20:28:52.456685,2017-10-13 20:28:52.456685,,0,t
8,somy,taban,سلام لطفا به هیچ عنوان باشرکتهای هواپیمایی که حقوق مسافرحتی حقوق انسانی رارعایت نمیکنندمسافرت نکنید مادرسفری به مشهدبلیط رفت وبرگشت ازشرکت تابان گرفتیم بلیط گران،هواپیمای کاملا ازرده خارج شده ،غذاهایی که فاسدبود وقابل خوردن نبود که بعدازدادن غذابه مهماندار وگوشتزد کردن خرابی ساندویچ کالباس وگوجه هایش ،مهماندارهیچ حرفی نزد گویا این موضوع بارها تکرارشده واین شرکت نیازی به رفع ایرادهای خودندارد شاید لیاقت مردم ایران میدانند واقعا باعث تاسف بود ماتااخرپروازگرسنه بودیم وهیچ کس حتی نیامد بپرسدداستان چیست,1,,2017-10-13 20:29:21.392512,2017-10-13 20:29:21.392512,,0,t
9,امیرحسین,zagros,10 شهریور 96 با زاگرس از مشهد اومدم تهران.از یکساعت تاخیر که جزو آپشن های شرکت زاگرس شده بگذریم خدمه پرواز بد اخلاق ( کلا لبخند به چهره ندارن) پرواز ما عصر بود و با حدود 300 هزار تومانی که برای بلیط دادم پذیرایی واقعا افتضاح بود.( 1 عدد آبمیوه + کیک + 1بسته بادام زمینی که 70 درصدش هوا بود + 1عدد کاکائو + 1عدد لیوان آب هم بود که تعارف نمیکردن اگر تشنه ات بود باید میگفتی که بهت بدن),2,,2017-10-13 20:30:05.521982,2017-10-13 20:30:05.521982,,0,t
10,amir,sepehran,سلام بنده هفته سه مرتبه پرواز دارم .اول با سپهران .فوق العادست .بعد ایرباس ماهان بعد ایرباس قشم اگر جانتون دوست دارید بقیه ایرلاین به هیچ وج سوار نشید,4,,2017-10-13 20:31:27.872828,2017-10-13 20:31:27.872828,,0,t
