"id","english_name","persian_name","code","created_at","updated_at","rate_count","rate_average"
19,"atrak","اترک","AK","2017-10-10 11:01:35.69938","2017-10-11 13:53:19.952866",0,0
22,"hesa","هسا","HESA","2017-10-10 11:01:35.715546","2017-10-11 13:53:19.980146",0,0
23,"ata","آتا","I3","2017-10-10 11:01:35.720362","2017-10-11 13:53:19.988331",0,0
24,"meraj","معراج","JI","2017-10-10 11:01:35.72526","2017-10-11 13:53:19.996086",0,0
25,"caspian","کاسپین","IV","2017-10-10 11:01:35.732907","2017-10-11 13:53:20.004637",0,0
26,"naft","نفت","NV","2017-10-10 11:01:35.738007","2017-10-11 13:53:20.016474",0,0
27,"saha","ساها","SE","2017-10-10 11:01:35.743565","2017-10-11 13:53:20.02423",0,0
28,"zagros","زاگرس","ZV","2017-10-10 11:01:35.748622","2017-10-11 13:53:20.031264",0,0
29,"taban","تابان","HH","2017-10-10 11:01:35.752876","2017-10-11 13:53:20.038055",0,0
30,"qeshm-air","قشم‌ایر","QB","2017-10-10 11:01:35.756815","2017-10-11 13:53:20.044453",0,0
32,"aseman","آسمان","EP","2017-10-10 11:01:35.768585","2017-10-11 13:53:20.059281",0,0
34,"sepehran","سپهران","SR","2017-10-10 11:01:35.777006","2017-10-11 13:53:20.07072",0,0
18,"mahan","ماهان","W5","2017-10-10 11:01:35.692036","2017-10-11 14:05:10.415912",12,4
20,"iran-air-tour","ایران‌ایر‌تور","B9","2017-10-10 11:01:35.70481","2017-10-12 08:36:34.193344",5,3
33,"iran-air","ایران‌ایر","IR","2017-10-10 11:01:35.772595","2017-10-24 09:00:00.421548",2,4
31,"kish-air","کیش‌ایر","Y9","2017-10-10 11:01:35.762072","2017-10-29 10:04:25.71874",9,3
21,"sepahan","سپاهان","SEPAHAN","2017-10-10 11:01:35.710184","2017-11-06 13:28:16.851805",1,2
59,"Air Canada",,"AC","2017-11-11 08:36:03.795012","2017-11-11 08:45:00.146593",0,0
60,"TAM Linhas Aereas",,"JJ","2017-11-11 08:36:03.799452","2017-11-11 08:45:00.187634",0,0
61,"Japan Airlines",,"JL","2017-11-11 08:36:03.804266","2017-11-11 08:45:00.197816",0,0
62,"Korean Air",,"KE","2017-11-11 08:36:03.808876","2017-11-11 08:45:00.208625",0,0
63,"Alaska Airlines",,"AS","2017-11-11 08:36:03.813295","2017-11-11 08:45:00.215933",0,0
65,"SAS",,"SK","2017-11-11 08:36:03.825241","2017-11-11 08:45:00.239888",0,0
66,"Garuda",,"GA","2017-11-11 08:36:03.83096","2017-11-11 08:45:00.255309",0,0
67,"Cathay Pacific",,"CX","2017-11-11 08:36:03.835732","2017-11-11 08:45:00.262656",0,0
68,"Republic Airlines",,"RW","2017-11-11 08:36:03.841889","2017-11-11 08:45:00.26984",0,0
69,"Saudi Arabian Airlines",,"SV","2017-11-11 08:36:03.846433","2017-11-11 08:45:00.277163",0,0
71,"Xiamen Airlines",,"MF","2017-11-11 08:36:03.862388","2017-11-11 08:45:00.302227",0,0
72,"VRG Linhas Aereas S.A. - Grupo GOL",,"G3","2017-11-11 08:36:03.870975","2017-11-11 08:45:00.30975",0,0
73,"Jazz Aviation LP",,"QK","2017-11-11 08:36:03.877949","2017-11-11 08:45:00.320612",0,0
49,"Emirates","امارات ایرلاین","EK","2017-11-11 08:36:03.735244","2017-11-11 08:45:00.462798",0,0
75,"Lan Airlines",,"LA","2017-11-11 08:36:03.890513","2017-11-11 08:45:00.333354",0,0
76,"Endeavor Air",,"9E","2017-11-11 08:36:03.89578","2017-11-11 08:45:00.339723",0,0
35,"American Airlines",,"AA","2017-11-11 08:36:03.652465","2017-11-11 08:45:00.366179",0,0
36,"Delta Air Lines",,"DL","2017-11-11 08:36:03.662033","2017-11-11 08:45:00.377281",0,0
37,"United Airlines",,"UA","2017-11-11 08:36:03.666591","2017-11-11 08:45:00.383548",0,0
38,"Southwest Airlines Co.",,"WN","2017-11-11 08:36:03.672302","2017-11-11 08:45:00.390254",0,0
39,"China Southern Airlines",,"CZ","2017-11-11 08:36:03.677352","2017-11-11 08:45:00.396534",0,0
40,"China Eastern",,"MU","2017-11-11 08:36:03.683209","2017-11-11 08:45:00.402831",0,0
42,"Air China Limited",,"CA","2017-11-11 08:36:03.694715","2017-11-11 08:45:00.41632",0,0
43,"Federal Express",,"FX","2017-11-11 08:36:03.699658","2017-11-11 08:45:00.422758",0,0
44,"Ryanair Ltd.",,"FR","2017-11-11 08:36:03.70472","2017-11-11 08:45:00.428956",0,0
45,"Expressjet",,"XE","2017-11-11 08:36:03.711266","2017-11-11 08:45:00.435325",0,0
74,"Etihad Airways","اتحاد","EY","2017-11-11 08:36:03.884862","2017-11-11 08:45:00.327066",0,0
120,"Pegasus Airlines","پگاسوس","PC","2017-11-11 08:36:04.166537","2017-11-11 08:45:00.95482",0,0
52,"Air France","ایرفرانس","AF","2017-11-11 08:36:03.755007","2017-11-11 08:45:00.515605",0,0
50,"UPS Airlines",,"5X","2017-11-11 08:36:03.741956","2017-11-11 08:45:00.482774",0,0
51,"Easyjet Airline Company Limited",,"U2","2017-11-11 08:36:03.749619","2017-11-11 08:45:00.503804",0,0
81,"KLM","کی‌ال‌ام","KL","2017-11-11 08:36:03.927569","2017-11-11 08:45:00.600843",0,0
53,"JetBlue",,"B6","2017-11-11 08:36:03.761621","2017-11-11 08:45:00.523334",0,0
56,"Envoy Air Inc.",,"MQ","2017-11-11 08:36:03.779315","2017-11-11 08:45:00.555752",0,0
78,"Qantas",,"QF","2017-11-11 08:36:03.907873","2017-11-11 08:45:00.577618",0,0
79,"Lion Airlines",,"JT","2017-11-11 08:36:03.916833","2017-11-11 08:45:00.585983",0,0
80,"WestJet",,"WS","2017-11-11 08:36:03.922188","2017-11-11 08:45:00.593365",0,0
55,"Qatar Airways","قطر ایرویز","QR","2017-11-11 08:36:03.772556","2017-11-11 08:45:00.538199",0,0
83,"PSA Airlines",,"OH","2017-11-11 08:36:03.937681","2017-11-11 08:45:00.620494",0,0
84,"Air India",,"AI","2017-11-11 08:36:03.943566","2017-11-11 08:45:00.629261",0,0
85,"Sichuan Airlines",,"3U","2017-11-11 08:36:03.950756","2017-11-11 08:45:00.638239",0,0
87,"Vueling",,"VY","2017-11-11 08:36:03.960934","2017-11-11 08:45:00.671947",0,0
88,"Alitalia",,"AZ","2017-11-11 08:36:03.96563","2017-11-11 08:45:00.679522",0,0
89,"AVIANCA",,"AV","2017-11-11 08:36:03.9695","2017-11-11 08:45:00.685997",0,0
90,"Virgin Australia",,"VA","2017-11-11 08:36:03.974556","2017-11-11 08:45:00.692162",0,0
91,"Shuttle America",,"S5","2017-11-11 08:36:03.978811","2017-11-11 08:45:00.698456",0,0
92,"Shandong Airlines",,"SC","2017-11-11 08:36:03.984814","2017-11-11 08:45:00.704769",0,0
93,"Jet Airways",,"9W","2017-11-11 08:36:03.988861","2017-11-11 08:45:00.712753",0,0
94,"Tianjin Airlines",,"GS","2017-11-11 08:36:03.993187","2017-11-11 08:45:00.719939",0,0
95,"Vietnam Airlines",,"VN","2017-11-11 08:36:03.997313","2017-11-11 08:45:00.726988",0,0
96,"COPA Airlines",,"CM","2017-11-11 08:36:04.001029","2017-11-11 08:45:00.733953",0,0
98,"Air Berlin",,"AB","2017-11-11 08:36:04.01097","2017-11-11 08:45:00.748524",0,0
99,"Austrian",,"OS","2017-11-11 08:36:04.017132","2017-11-11 08:45:00.755695",0,0
100,"Spirit Airlines",,"NK","2017-11-11 08:36:04.021397","2017-11-11 08:45:00.763227",0,0
101,"Asiana",,"OZ","2017-11-11 08:36:04.025614","2017-11-11 08:45:00.771068",0,0
102,"China Airlines",,"CI","2017-11-11 08:36:04.030546","2017-11-11 08:45:00.778176",0,0
104,"Malaysia Airlines",,"MH","2017-11-11 08:36:04.040956","2017-11-11 08:45:00.82197",0,0
105,"Thai Airways International",,"TG","2017-11-11 08:36:04.060023","2017-11-11 08:45:00.837067",0,0
106,"IBERIA",,"IB","2017-11-11 08:36:04.065203","2017-11-11 08:45:00.847433",0,0
107,"flybe",,"BE","2017-11-11 08:36:04.071087","2017-11-11 08:45:00.859925",0,0
108,"Ethiopian Airlines",,"ET","2017-11-11 08:36:04.076617","2017-11-11 08:45:00.877532",0,0
110,"Wizz Air Hungary Ltd.",,"W6","2017-11-11 08:36:04.088818","2017-11-11 08:45:00.891505",0,0
111,"Air Wisconsin Airlines Corporation (AWAC)",,"ZW","2017-11-11 08:36:04.094316","2017-11-11 08:45:00.897605",0,0
112,"SWISS",,"LX","2017-11-11 08:36:04.099706","2017-11-11 08:45:00.903826",0,0
113,"Trans States Airlines, LLC",,"AX","2017-11-11 08:36:04.105396","2017-11-11 08:45:00.911445",0,0
