"id","english_name","persian_name","latitude_deg","longitude_deg","country_code","region_code","city_code","home_link","wikipedia_link","priority","status","created_at","updated_at"
14743,"Asaluyeh","عسلویه",,,"IR","IR-23","pgu",,,,"true","2017-11-01 14:12:57.469426","2017-11-01 14:14:14.341708"
7448,"gachsaran","گچساران",,,"IR","IR-18","gch",,,,"true","2017-11-01 14:01:29.719253","2017-11-01 14:02:43.757643"
18709,"pine cay",,,,"TC","TC-PN","pic",,,,"true","2017-11-01 14:13:23.602357","2017-11-01 14:14:54.88448"
14742,"ramsar","رامسر",,,"IR","IR-21","rzr",,,27,"true","2017-11-01 14:12:57.455486","2017-11-01 14:14:14.32939"
15323,"nemiscau",,,,"CA","CA-QC","yns",,,,"true","2017-11-01 14:13:00.796684","2017-11-01 14:14:21.064178"
16633,"tidjikja",,,,"MR","MR-09","tiy",,,,"true","2017-11-01 14:13:09.018878","2017-11-01 14:14:35.221335"
7459,"isfahan","اصفهان",,,"IR","IR-04","ifn",,,12,"true","2017-11-01 14:01:29.801562","2017-11-01 14:02:43.850286"
7445,"abadan","آبادان",,,"IR","IR-10","abd",,,15,"true","2017-11-01 14:01:29.687641","2017-11-01 14:02:44.217294"
7488,"ardabil","اردبیل",,,"IR","IR-03","adu",,,17,"true","2017-11-01 14:01:29.960713","2017-11-01 14:02:44.118087"
7493,"zanjan","زنجان",,,"IR","IR-11","jwn",,,21,"true","2017-11-01 14:01:29.989007","2017-11-01 14:02:44.17095"
7495,"chabahar","چابهار",,,"IR","IR-13","zbr",,,25,"true","2017-11-01 14:01:30.001959","2017-11-01 14:01:30.001959"
7444,"gheshm","قشم",,,"IR","IR-23","gsm",,,31,"true","2017-11-01 14:01:29.673579","2017-11-01 14:02:43.73696"
7471,"birjand","بیرجند",,,"IR","IR-29","xbj",,,35,"true","2017-11-01 14:01:29.867756","2017-11-01 14:02:43.975103"
7494,"yazd","یزد",,,"IR","IR-25","azd",,,40,"true","2017-11-01 14:01:29.993648","2017-11-01 14:02:44.176328"
20878,"pskov",,,,"RU","RU-PSK","pkv",,,,"true","2017-11-01 14:13:39.114384","2017-11-01 14:15:16.239912"
7473,"mashhad","مشهد",,,"IR","IR-30","mhd",,,5,"true","2017-11-01 14:01:29.878477","2017-11-01 14:01:29.878477"
7481,"fasa","فسا",,,"IR","IR-14","faz",,,,"true","2017-11-01 14:01:29.92312","2017-11-01 14:02:44.046953"
7485,"shiraz","شیراز",,,"IR","IR-14","syz",,,9,"true","2017-11-01 14:01:29.945228","2017-11-01 14:02:44.087343"
7492,"tabriz","تبریز",,,"IR","IR-01","tbz",,,10,"true","2017-11-01 14:01:29.983747","2017-11-01 14:02:44.161081"
7478,"gorgan","گرگان",,,"IR","IR-27","gbt",,,,"true","2017-11-01 14:01:29.901785","2017-11-01 14:02:44.029611"
7462,"hamadan","همدان",,,"IR","IR-24","hdm",,,,"true","2017-11-01 14:01:29.816824","2017-11-01 14:02:43.887855"
7476,"tabas","طبس",,,"IR","IR-25","tcx",,,,"true","2017-11-01 14:01:29.891625","2017-11-01 14:02:44.0141"
7458,"hesa","هسا",,,"IR","IR-04","ifh",,,,"true","2017-11-01 14:01:29.794161","2017-11-01 14:02:43.840645"
7486,"yasouj","یاسوج",,,"IR","IR-18","yes",,,,"true","2017-11-01 14:01:29.950907","2017-11-01 14:02:44.10256"
7496,"zahedan","زاهدان",,,"IR","IR-13","zah",,,,"true","2017-11-01 14:01:30.006127","2017-11-01 14:02:44.200881"
7482,"jahrom","جهرم",,,"IR","IR-14","jar",,,,"true","2017-11-01 14:01:29.927836","2017-11-01 14:02:44.055293"
7468,"jiroft","جیرفت",,,"IR","IR-15","jyr",,,,"true","2017-11-01 14:01:29.84568","2017-11-01 14:02:43.944339"
7477,"kalaleh","کلاته",,,"IR","IR-27","klm",,,,"true","2017-11-01 14:01:29.895622","2017-11-01 14:02:44.023039"
7465,"qazvin","قزوین",,,"IR","IR-28","gha",,,,"true","2017-11-01 14:01:29.831078","2017-11-01 14:01:29.831078"
7460,"shahrekord","شهرکرد",,,"IR","IR-08","qhk",,,,"true","2017-11-01 14:01:29.806348","2017-11-01 14:01:29.806348"
7491,"urmia","ارومیه",,,"IR","IR-02","omh",,,,"true","2017-11-01 14:01:29.978305","2017-11-01 14:01:29.978305"
7452,"kangan","کنگان",,,"IR","IR-06","knr",,,,"true","2017-11-01 14:01:29.750061","2017-11-01 14:02:43.781835"
7447,"aghajari","آغاجری",,,"IR","IR-10","akw",,,,"true","2017-11-01 14:01:29.712882","2017-11-01 14:02:44.22334"
7463,"araak","اراک",,,"IR","IR-22","ajk",,,,"true","2017-11-01 14:01:29.821001","2017-11-01 14:02:43.892538"
7454,"bandar lengeh","بندرلنگه",,,"IR","IR-23","bdh",,,,"true","2017-11-01 14:01:29.760017","2017-11-01 14:02:43.800411"
7474,"bojnord","بجنورد",,,"IR","IR-31","bjb",,,,"true","2017-11-01 14:01:29.883121","2017-11-01 14:02:43.995855"
7466,"karaj","کرج",,,"IR","IR-U-A","pyk",,,,"true","2017-11-01 14:01:29.83741","2017-11-01 14:02:43.924983"
7456,"kermanshah","کرمانشاه",,,"IR","IR-17","ksh",,,,"true","2017-11-01 14:01:29.779597","2017-11-01 14:02:43.82214"
7487,"khoy","خوی",,,"IR","IR-02","khy",,,,"true","2017-11-01 14:01:29.956058","2017-11-01 14:02:44.111345"
7484,"lamerd","لامرد",,,"IR","IR-14","lfm",,,,"true","2017-11-01 14:01:29.939929","2017-11-01 14:02:44.07392"
7483,"lar","لار",,,"IR","IR-14","lrr",,,,"true","2017-11-01 14:01:29.93499","2017-11-01 14:02:44.063878"
18373,"marseille",,,,"FR","FR-U","mrs",,,,"true","2017-11-01 14:13:21.199056","2017-11-01 14:14:51.944414"
7475,"sabzevar","سبزوار",,,"IR","IR-30","afz",,,,"true","2017-11-01 14:01:29.887351","2017-11-01 14:02:44.00267"
7472,"sarakhs","سرخس",,,"IR","IR-30","ckt",,,,"true","2017-11-01 14:01:29.871868","2017-11-01 14:02:43.981322"
14741,"utirik island",,,,"MH","MH-UTI","utk",,,,"true","2017-11-01 14:12:57.439596","2017-11-01 14:14:14.320377"
14744,"crested butte",,,,"US","US-CO","cse",,,,"true","2017-11-01 14:12:57.482535","2017-11-01 14:14:14.348529"
14746,"palmer",,,,"US","US-MA","paq",,,,"true","2017-11-01 14:12:57.503217","2017-11-01 14:14:14.365833"
14766,"aleknagik",,,,"US","US-AK","wkk",,,,"true","2017-11-01 14:12:57.621841","2017-11-01 14:14:14.394329"
14747,"nunapitchuk",,,,"US","US-AK","nup",,,,"true","2017-11-01 14:12:57.509761","2017-11-01 14:14:14.40554"
14767,"naknek",,,,"US","US-AK","nnk",,,,"true","2017-11-01 14:12:57.630507","2017-11-01 14:14:14.41724"
14748,"icy bay",,,,"US","US-AK","icy",,,,"true","2017-11-01 14:12:57.514327","2017-11-01 14:14:14.478118"
14768,"belle chasse",,,,"US","US-LA","bcs",,,,"true","2017-11-01 14:12:57.636714","2017-11-01 14:14:14.546254"
14751,"lime village",,,,"US","US-AK","lvd",,,,"true","2017-11-01 14:12:57.528079","2017-11-01 14:14:14.619943"
14752,"hogatza",,,,"US","US-AK","hgz",,,,"true","2017-11-01 14:12:57.532295","2017-11-01 14:14:14.62935"
14753,"oaktown",,,,"US","US-IN","otn",,,,"true","2017-11-01 14:12:57.536389","2017-11-01 14:14:14.643055"
14754,"telida",,,,"US","US-AK","tlf",,,,"true","2017-11-01 14:12:57.542729","2017-11-01 14:14:14.656804"
14755,"brazoria",,,,"US","US-TX","bzt",,,,"true","2017-11-01 14:12:57.547717","2017-11-01 14:14:14.664851"
14756,"blakely island",,,,"US","US-WA","byw",,,,"true","2017-11-01 14:12:57.552394","2017-11-01 14:14:14.671949"
14769,"blackwell",,,,"US","US-OK","bwl",,,,"true","2017-11-01 14:12:57.642073","2017-11-01 14:14:14.686486"
14757,"kenai",,,,"US","US-AK","ena",,,,"true","2017-11-01 14:12:57.558141","2017-11-01 14:14:14.69715"
14758,"bradford",,,,"US","US-IL","bdf",,,,"true","2017-11-01 14:12:57.564989","2017-11-01 14:14:14.704575"
14759,"versailles",,,,"US","US-MO","vrs",,,,"true","2017-11-01 14:12:57.570507","2017-11-01 14:14:14.719259"
14760,"pumani",,,,"PG","PG-MBA","pmn",,,,"true","2017-11-01 14:12:57.576525","2017-11-01 14:14:14.73277"
14761,"atmautluak",,,,"US","US-AK","att",,,,"true","2017-11-01 14:12:57.58151","2017-11-01 14:14:14.801431"
14762,"livengood",,,,"US","US-AK","liv",,,,"true","2017-11-01 14:12:57.586194","2017-11-01 14:14:14.854707"
14763,"pedro bay",,,,"US","US-AK","pdb",,,,"true","2017-11-01 14:12:57.593516","2017-11-01 14:14:14.866041"
14764,"ouzinkie",,,,"US","US-AK","koz",,,,"true","2017-11-01 14:12:57.59834","2017-11-01 14:14:14.87427"
14765,"tununak",,,,"US","US-AK","tnk",,,,"true","2017-11-01 14:12:57.608924","2017-11-01 14:14:14.88838"
14770,"center island",,,,"US","US-WA","cws",,,,"true","2017-11-01 14:12:57.646195","2017-11-01 14:14:14.895943"
14771,"tatitlek",,,,"US","US-AK","tek",,,,"true","2017-11-01 14:12:57.651156","2017-11-01 14:14:14.925666"
14772,"corolla",,,,"US","US-NC","duf",,,,"true","2017-11-01 14:12:57.655774","2017-11-01 14:14:14.933229"
14773,"stuart island",,,,"US","US-WA","ssw",,,,"true","2017-11-01 14:12:57.661186","2017-11-01 14:14:14.948189"
14774,"fort bragg",,,,"US","US-CA","fbg",,,,"true","2017-11-01 14:12:57.665412","2017-11-01 14:14:14.955961"
14775,"alexandria bay",,,,"US","US-NY","axb",,,,"true","2017-11-01 14:12:57.670368","2017-11-01 14:14:14.965112"
14776,"lubbock",,,,"US","US-TX","lbb",,,,"true","2017-11-01 14:12:57.674471","2017-11-01 14:14:14.97484"
14779,"ugashik",,,,"US","US-AK","ugs",,,,"true","2017-11-01 14:12:57.688291","2017-11-01 14:14:15.004331"
14780,"levelock",,,,"US","US-AK","kll",,,,"true","2017-11-01 14:12:57.692566","2017-11-01 14:14:15.014136"
14781,"tuntutuliak",,,,"US","US-AK","wtl",,,,"true","2017-11-01 14:12:57.698156","2017-11-01 14:14:15.028009"
14782,"twin hills",,,,"US","US-AK","twa",,,,"true","2017-11-01 14:12:57.70222","2017-11-01 14:14:15.039944"
14788,"aseki",,,,"PG","PG-MPL","aek",,,,"true","2017-11-01 14:12:57.732063","2017-11-01 14:14:15.089375"
14791,"arona",,,,"SB","SB-MK","rna",,,,"true","2017-11-01 14:12:57.752547","2017-11-01 14:14:15.116803"
14792,"atoifi",,,,"SB","SB-ML","atd",,,,"true","2017-11-01 14:12:57.760738","2017-11-01 14:14:15.124513"
14793,"barakoma",,,,"SB","SB-WE","vev",,,,"true","2017-11-01 14:12:57.765856","2017-11-01 14:14:15.137698"
14795,"angoram",,,,"PG","PG-ESW","agg",,,,"true","2017-11-01 14:12:57.777101","2017-11-01 14:14:15.153733"
7450,"ahvaz","اهواز",,,"IR","IR-10","awz",,,11,"true","2017-11-01 14:01:29.733722","2017-11-01 14:02:44.228664"
14796,"auki",,,,"SB","SB-ML","aks",,,,"true","2017-11-01 14:12:57.782391","2017-11-01 14:14:15.16188"
14799,"fera island",,,,"SB","SB-IS","fre",,,,"true","2017-11-01 14:12:57.79948","2017-11-01 14:14:15.186568"
14800,"honiara",,,,"SB","SB-CT","hir",,,,"true","2017-11-01 14:12:57.804786","2017-11-01 14:14:15.198371"
