"id","origin","destination","created_at","updated_at","international"
345,"thr","gbt","2017-09-19 07:24:00.722476","2017-11-08 08:18:00.690935",f
346,"thr","adu","2017-09-19 07:24:00.728774","2017-11-08 08:18:00.696999",f
347,"mhd","ksh","2017-09-19 07:24:00.742901","2017-11-08 08:18:00.702255",f
348,"mhd","buz","2017-09-19 07:24:00.7478","2017-11-08 08:18:00.707984",f
349,"mhd","gbt","2017-09-19 07:24:00.752833","2017-11-08 08:18:00.714444",f
351,"kih","ksh","2017-09-19 07:24:00.77565","2017-11-08 08:18:00.741077",f
352,"kih","buz","2017-09-19 07:24:00.780321","2017-11-08 08:18:00.760899",f
353,"kih","gbt","2017-09-19 07:24:00.788704","2017-11-08 08:18:00.772711",f
354,"kih","adu","2017-09-19 07:24:00.797899","2017-11-08 08:18:00.781909",f
355,"syz","ksh","2017-09-19 07:24:00.812208","2017-11-08 08:18:00.796703",f
357,"syz","gbt","2017-09-19 07:24:00.823982","2017-11-08 08:18:00.816719",f
358,"syz","adu","2017-09-19 07:24:00.829138","2017-11-08 08:18:00.826911",f
359,"ifn","ksh","2017-09-19 07:24:00.842862","2017-11-08 08:18:00.838832",f
360,"ifn","buz","2017-09-19 07:24:00.848511","2017-11-08 08:18:00.845756",f
362,"ifn","adu","2017-09-19 07:24:00.862319","2017-11-08 08:18:00.859561",f
363,"abd","ksh","2017-09-19 07:24:00.876882","2017-11-08 08:18:00.867849",f
364,"abd","buz","2017-09-19 07:24:00.882286","2017-11-08 08:18:00.874675",f
365,"abd","gbt","2017-09-19 07:24:00.890492","2017-11-08 08:18:00.881588",f
366,"abd","adu","2017-09-19 07:24:00.896594","2017-11-08 08:18:00.889145",f
368,"awz","buz","2017-09-19 07:24:00.916947","2017-11-08 08:18:00.902296",f
369,"awz","gbt","2017-09-19 07:24:00.924501","2017-11-08 08:18:00.907795",f
370,"awz","adu","2017-09-19 07:24:00.934103","2017-11-08 08:18:00.913132",f
371,"tbz","ksh","2017-09-19 07:24:00.951537","2017-11-08 08:18:00.921112",f
372,"tbz","buz","2017-09-19 07:24:00.958357","2017-11-08 08:18:00.92653",f
374,"tbz","adu","2017-09-19 07:24:00.969526","2017-11-08 08:18:00.941973",f
375,"bnd","ksh","2017-09-19 07:24:00.983124","2017-11-08 08:18:00.948527",f
376,"bnd","buz","2017-09-19 07:24:00.989354","2017-11-08 08:18:00.956624",f
377,"bnd","gbt","2017-09-19 07:24:00.994837","2017-11-08 08:18:00.963367",f
379,"zbr","ksh","2017-09-19 07:24:01.031008","2017-11-08 08:18:00.976796",f
380,"zbr","buz","2017-09-19 07:24:01.039908","2017-11-08 08:18:00.982656",f
381,"zbr","gbt","2017-09-19 07:24:01.047176","2017-11-08 08:18:00.991704",f
382,"zbr","adu","2017-09-19 07:24:01.052928","2017-11-08 08:18:01.007537",f
383,"rzr","ksh","2017-09-19 07:24:01.068715","2017-11-08 08:18:01.019874",f
385,"rzr","gbt","2017-09-19 07:24:01.079099","2017-11-08 08:18:01.033399",f
386,"rzr","adu","2017-09-19 07:24:01.083968","2017-11-08 08:18:01.039558",f
387,"ras","ksh","2017-09-19 07:24:01.10104","2017-11-08 08:18:01.047192",f
388,"ras","buz","2017-09-19 07:24:01.105488","2017-11-08 08:18:01.05553",f
389,"ras","gbt","2017-09-19 07:24:01.110133","2017-11-08 08:18:01.062093",f
391,"zah","ksh","2017-09-19 07:24:01.12823","2017-11-08 08:18:01.076396",f
